,age,income,savings_rate,debt_ratio,purchase_power,purchasing_power,purchase_class
39,32,48261.51,0.06,0.41,28174.21,27.28,1
40,27,62880.36,0.26,0.3,26610.11,26.18,0
41,44,52848.74,0.28,0.59,11705.35,15.76,0
42,20,38858.83,0.26,0.34,5413.84,11.36,0
43,38,52289.84,0.08,0.21,42020.33,36.96,1
44,46,43666.2,0.3,0.29,21940.21,22.92,0
45,25,38751.24,0.11,0.43,14463.17,17.69,0
46,26,61382.91,0.23,0.14,36421.42,33.04,1
47,53,38966.33,0.28,0.4,11406.09,15.55,0
48,32,60495.74,0.11,0.57,22665.17,23.42,0
49,35,45202.98,0.28,0.53,13462.82,16.99,0
50,54,70652.15,0.13,0.13,49690.81,42.32,1
51,58,69577.18,0.29,0.6,349.59,7.82,0
52,22,40138.29,0.12,0.45,9992.02,14.56,0
53,20,36521.97,0.29,0.18,9183.55,14.0,0
54,24,35801.34,0.06,0.11,25074.35,25.11,0
55,22,27593.81,0.23,0.19,8903.91,13.8,0
56,47,103815.95,0.18,0.52,34550.52,31.73,1
57,36,48888.14,0.17,0.11,40217.64,35.69,1
58,44,99389.83,0.11,0.22,72041.72,57.94,1
59,52,50160.06,0.23,0.48,14682.67,17.84,0
60,28,61044.89,0.1,0.39,31059.51,29.29,1
61,54,46340.79,0.19,0.49,12714.04,16.47,0
62,32,65569.64,0.11,0.47,30230.47,28.71,1
63,49,57545.65,0.29,0.13,35948.0,32.71,1
64,33,52852.51,0.06,0.55,24670.42,24.83,0
65,26,60043.55,0.1,0.21,38918.16,34.79,1
66,32,49918.21,0.11,0.38,28572.67,27.55,1
67,41,46455.22,0.15,0.42,25101.02,25.13,0
68,58,70623.51,0.11,0.18,42660.64,37.4,1
69,39,47980.63,0.17,0.59,16711.61,19.26,0
70,34,67256.57,0.27,0.34,29918.37,28.49,1
71,36,78999.25,0.23,0.13,55809.41,46.6,1
72,42,57166.75,0.19,0.57,18627.71,20.6,0
73,44,87567.7,0.07,0.39,51703.9,43.73,1
74,43,71016.79,0.22,0.45,28193.91,27.29,1
75,59,46281.68,0.09,0.36,16454.18,19.08,0
76,47,93892.6,0.25,0.52,25805.86,25.62,0
77,33,43912.77,0.11,0.12,37434.05,33.75,1
78,19,31801.52,0.15,0.23,7582.78,12.88,0
79,43,59609.86,0.14,0.33,36719.06,33.25,1
80,25,58461.19,0.26,0.14,31508.2,29.61,1
81,27,73461.55,0.08,0.45,33180.97,30.78,1
82,42,83774.68,0.19,0.3,48074.55,41.19,1
83,19,40733.94,0.09,0.24,15630.83,18.51,0
84,26,45033.42,0.23,0.1,28032.98,27.18,1
85,42,44001.21,0.28,0.46,16939.18,19.42,0
86,29,38218.35,0.16,0.52,13027.41,16.69,0
87,35,102677.89,0.17,0.3,58938.02,48.78,1
88,26,30561.01,0.28,0.38,8215.43,13.32,0
89,53,50355.78,0.18,0.21,29307.28,28.07,1
90,53,84133.42,0.17,0.41,33694.99,31.13,1
91,51,64816.76,0.19,0.11,45851.06,39.63,1
92,23,62569.6,0.22,0.34,21491.99,22.6,0
93,57,66910.43,0.08,0.42,27833.77,27.04,1
94,59,88746.76,0.26,0.56,7716.5,12.97,0
95,46,67644.58,0.16,0.29,41405.14,36.53,1
96,25,59692.4,0.07,0.48,23494.05,24.0,0
97,27,41110.48,0.25,0.4,13574.27,17.07,0
98,26,59551.59,0.14,0.56,15057.87,18.11,0
99,30,48695.54,0.08,0.3,31900.92,29.88,1
100,52,54674.98,0.21,0.26,29072.3,27.9,1
101,51,78786.88,0.27,0.54,15237.1,18.23,0
102,41,79713.47,0.27,0.12,53559.17,45.02,1
103,42,103279.41,0.29,0.17,61343.1,50.46,1
104,55,97523.89,0.27,0.14,54457.65,45.65,1
105,53,78269.94,0.05,0.52,32352.85,30.2,1
106,58,38590.0,0.15,0.11,21662.34,22.72,0
107,40,107836.39,0.25,0.53,28576.96,27.56,1
108,45,80718.2,0.14,0.33,47392.49,40.71,1
109,53,50550.48,0.2,0.1,34087.69,31.41,1
110,19,50630.55,0.2,0.3,13483.34,17.0,0
111,53,47885.77,0.14,0.19,30669.75,29.02,1
112,55,70143.24,0.28,0.41,18673.03,20.63,0
113,32,41507.9,0.18,0.44,19019.76,20.88,0
114,21,30651.48,0.17,0.34,6372.72,12.03,0
115,19,50211.77,0.3,0.12,17271.43,19.65,0
116,23,66248.4,0.17,0.43,20454.35,21.88,0
117,44,68184.26,0.09,0.52,31269.34,29.44,1
118,32,52251.67,0.18,0.46,21959.58,22.93,0
119,57,37208.19,0.25,0.51,2723.36,9.48,0
120,45,59724.32,0.24,0.2,37887.53,34.07,1
121,27,59881.11,0.25,0.54,11398.93,15.55,0
122,33,52796.61,0.23,0.26,30417.4,28.84,1
123,33,56961.86,0.11,0.11,47925.85,41.08,1
124,44,60012.83,0.27,0.52,17715.79,19.96,0
125,31,50755.45,0.27,0.57,10388.31,14.84,0
126,50,63021.06,0.1,0.43,31691.68,29.73,1
127,57,53382.24,0.08,0.22,31585.43,29.66,1
128,50,94407.11,0.29,0.23,46967.09,40.41,1
129,22,22097.35,0.27,0.33,1506.94,8.63,0
130,48,55082.7,0.27,0.55,12657.55,16.43,0
131,55,48114.29,0.27,0.17,23076.05,23.71,0
132,41,65737.95,0.19,0.51,25321.35,25.28,0
133,57,58518.66,0.21,0.25,26038.4,25.78,0
134,33,95814.55,0.19,0.5,33296.3,30.86,1
135,47,113524.96,0.06,0.56,46377.91,40.0,1
136,54,49828.68,0.24,0.31,20345.71,21.8,0
137,31,55338.96,0.18,0.28,32603.64,30.37,1
138,50,65006.29,0.21,0.5,20110.88,21.64,0
139,25,37447.72,0.18,0.36,13562.03,17.06,0
140,40,73198.76,0.17,0.44,33697.49,31.14,1
141,46,59266.67,0.09,0.41,33577.23,31.05,1
142,20,26288.26,0.12,0.18,8079.8,13.23,0
143,24,42002.34,0.09,0.52,11815.45,15.84,0
144,46,50646.68,0.1,0.2,39646.6,35.3,1
145,46,83659.58,0.29,0.57,15876.69,18.68,0
146,38,109814.32,0.09,0.23,80600.82,63.93,1
147,48,66448.55,0.12,0.47,30479.47,28.89,1
148,29,54812.94,0.2,0.24,31294.78,29.46,1
149,46,65181.37,0.2,0.26,39256.86,35.02,1
150,43,87450.38,0.09,0.26,62470.76,51.25,1
151,57,81533.92,0.25,0.47,16793.95,19.32,0
152,51,59681.84,0.25,0.38,23132.36,23.75,0
153,19,41234.21,0.11,0.54,2406.99,9.26,0
154,45,74663.57,0.12,0.25,51115.16,43.31,1
155,31,41971.17,0.28,0.45,13643.28,17.12,0
156,59,81004.41,0.26,0.48,13059.5,16.71,0
157,21,83411.2,0.22,0.18,41505.24,36.6,1
158,57,81653.26,0.07,0.3,45375.33,39.3,1
159,24,31743.95,0.15,0.34,11465.5,15.59,0
160,26,29764.51,0.19,0.28,13360.57,16.92,0
161,45,75877.08,0.1,0.26,53327.11,44.86,1
162,27,40728.61,0.16,0.44,15052.21,18.1,0
163,55,63734.27,0.2,0.21,34039.93,31.38,1
164,51,96967.63,0.13,0.45,40782.3,36.09,1
165,42,53815.94,0.25,0.57,15299.53,18.27,0
166,33,52009.69,0.26,0.38,22102.88,23.03,0
167,50,66400.14,0.13,0.41,32260.08,30.13,1
168,50,47131.02,0.26,0.13,30106.35,28.63,1
169,42,52725.0,0.08,0.53,26110.29,25.83,0
170,59,55716.41,0.26,0.24,18995.49,20.86,0
171,30,49933.38,0.09,0.41,26618.59,26.19,0
172,57,68257.07,0.07,0.59,17289.8,19.67,0
173,20,131009.51,0.21,0.4,41061.55,36.28,1
174,21,42454.1,0.17,0.46,6978.3,12.46,0
175,55,48400.79,0.28,0.32,15944.69,18.73,0
176,35,90767.91,0.14,0.13,70720.1,57.02,1
177,20,22145.71,0.12,0.5,-1680.66,6.4,0
178,20,23608.5,0.18,0.12,6308.19,11.99,0
179,46,54816.45,0.16,0.45,25268.46,25.24,0
180,41,58110.39,0.14,0.11,49287.84,42.04,1
181,55,50781.42,0.22,0.53,9052.24,13.91,0
182,50,61348.81,0.24,0.18,37368.15,33.7,1
183,51,65947.06,0.26,0.36,25758.16,25.59,0
184,19,58848.0,0.29,0.4,6152.31,11.88,0
185,37,61784.66,0.12,0.33,39244.94,35.01,1
186,20,31483.18,0.23,0.27,5616.28,11.5,0
187,44,83093.81,0.15,0.33,47945.36,41.1,1
188,50,51495.25,0.22,0.26,28780.17,27.7,1
189,24,28837.44,0.17,0.32,10266.79,14.76,0
190,50,87315.88,0.3,0.28,38400.46,34.42,1
191,22,66385.67,0.23,0.38,18344.32,20.4,0
192,29,42977.62,0.29,0.22,21923.69,22.91,0
193,35,53408.74,0.26,0.59,12312.38,16.19,0
194,56,46856.45,0.28,0.35,12874.05,16.58,0
195,42,67901.74,0.25,0.2,42423.22,37.24,1
196,23,86805.79,0.16,0.34,37151.13,33.55,1
197,52,73886.88,0.11,0.53,25968.64,25.73,0
198,24,66913.22,0.14,0.11,45050.26,39.07,1
199,40,77432.09,0.06,0.44,44541.97,38.72,1
200,29,53049.08,0.18,0.37,24448.97,24.67,0
201,34,80320.45,0.18,0.18,55554.98,46.42,1
202,51,75313.07,0.18,0.51,24010.65,24.36,0
203,27,82921.71,0.29,0.28,33772.89,31.19,1
204,24,39697.75,0.28,0.25,14202.55,17.51,0
205,34,40299.7,0.09,0.51,19944.41,21.52,0
206,47,83768.52,0.14,0.42,40432.44,35.85,1
207,21,46774.54,0.16,0.55,5283.52,11.27,0
208,38,56680.87,0.14,0.41,30346.71,28.79,1
209,54,56217.39,0.25,0.47,13423.73,16.96,0
210,37,140021.21,0.18,0.52,47024.25,40.45,1
211,44,54284.24,0.19,0.13,41747.23,36.76,1
212,21,30193.22,0.26,0.49,-1253.81,6.7,0
213,37,61689.64,0.25,0.41,26254.27,25.93,0
214,38,85691.67,0.08,0.13,72437.63,58.22,1
215,50,127250.09,0.23,0.35,54715.47,45.83,1
216,25,59562.09,0.16,0.14,38132.64,34.24,1
217,59,40851.64,0.12,0.47,7974.33,13.15,0
218,51,113118.34,0.06,0.37,64353.63,52.57,1
219,58,56059.09,0.17,0.58,7051.46,12.51,0
220,57,46769.03,0.14,0.19,25398.49,25.33,0
221,36,46857.53,0.11,0.4,27378.81,26.72,0
222,58,72345.98,0.22,0.21,33960.77,31.32,1
223,19,40994.63,0.24,0.41,2547.36,9.36,0
224,29,58850.38,0.11,0.46,25975.94,25.74,0
225,46,90540.96,0.06,0.46,47370.05,40.7,1
226,43,52453.19,0.26,0.51,17220.22,19.62,0
227,41,92351.55,0.05,0.53,44264.01,38.52,1
228,49,55131.52,0.28,0.14,34201.17,31.49,1
229,48,122509.3,0.21,0.27,66934.48,54.37,1
230,53,71096.2,0.13,0.44,29143.2,27.95,1
231,25,36220.64,0.11,0.35,16265.18,18.95,0
232,34,38571.6,0.05,0.2,33020.96,30.66,1
233,44,78094.27,0.11,0.38,45057.1,39.08,1
234,20,33771.98,0.08,0.3,10181.21,14.7,0
235,19,34783.87,0.2,0.3,5776.03,11.62,0
236,30,68605.51,0.09,0.5,29178.75,27.98,1
237,23,64628.94,0.18,0.3,27515.31,26.81,0
238,55,84967.3,0.2,0.11,55126.37,46.12,1
239,50,48149.23,0.12,0.13,37533.98,33.82,1
240,27,82494.6,0.06,0.53,32929.65,30.6,1
241,59,47589.69,0.06,0.58,8373.5,13.43,0
242,53,39518.57,0.06,0.44,18629.15,20.6,0
243,37,46636.23,0.23,0.28,27814.17,27.02,1
244,34,61728.71,0.13,0.57,22879.81,23.57,0
245,21,28970.57,0.25,0.43,640.97,8.03,0
246,38,59591.79,0.16,0.52,24248.81,24.53,0
247,42,68113.17,0.16,0.48,29262.03,28.04,1
248,51,58742.08,0.18,0.29,32130.5,30.04,1
249,42,55694.0,0.23,0.34,29292.51,28.06,1
250,29,38732.92,0.12,0.19,27474.5,26.79,0
251,26,49400.07,0.08,0.25,31073.85,29.3,1
252,54,39872.85,0.19,0.49,10776.31,15.11,0
253,56,49239.62,0.13,0.55,11303.4,15.48,0
254,58,44926.77,0.16,0.46,9690.06,14.35,0
255,38,57444.18,0.21,0.33,31753.91,29.78,1
256,53,57232.25,0.17,0.14,38044.25,34.18,1
257,43,81600.14,0.21,0.13,59583.52,49.23,1
258,53,97526.34,0.19,0.29,50137.31,42.63,1
259,43,49442.71,0.23,0.33,26412.04,26.04,0
260,47,115245.75,0.23,0.4,46050.84,39.77,1
261,36,49763.79,0.18,0.1,40170.88,35.66,1
262,36,62476.47,0.22,0.59,16404.12,19.05,0
263,20,47989.11,0.27,0.28,11435.75,15.57,0
264,53,134104.04,0.16,0.52,41591.05,36.66,1
265,34,50867.83,0.15,0.37,28413.74,27.44,1
266,59,37076.2,0.24,0.17,13660.23,17.13,0
267,54,93788.61,0.2,0.5,26594.69,26.17,0
268,51,50917.62,0.07,0.45,25031.87,25.08,0
269,22,37581.85,0.27,0.36,6538.46,12.15,0
270,51,48226.78,0.06,0.36,28875.18,27.77,1
271,32,51301.01,0.24,0.14,34765.75,31.88,1
272,39,50846.51,0.24,0.43,22305.49,23.17,0
273,38,73312.11,0.29,0.56,16629.18,19.2,0
274,26,50329.83,0.06,0.15,37598.71,33.86,1
275,25,38690.1,0.2,0.23,18657.06,20.62,0
276,21,60762.65,0.16,0.55,9039.03,13.9,0
277,35,63167.6,0.13,0.24,43992.2,38.33,1
278,51,42851.69,0.07,0.43,22068.01,23.01,0
279,30,72209.22,0.19,0.37,33658.17,31.11,1
280,40,64812.59,0.17,0.4,33521.67,31.01,1
281,40,92763.45,0.08,0.31,62595.04,51.34,1
282,48,64406.79,0.2,0.25,38037.49,34.17,1
283,56,48114.5,0.23,0.12,26444.76,26.07,0
284,56,55191.25,0.24,0.47,11320.15,15.49,0
285,26,64296.85,0.28,0.47,13895.69,17.29,0
286,45,52931.7,0.15,0.44,26173.01,25.88,0
287,45,56695.01,0.29,0.42,21140.78,22.36,0
288,52,57686.89,0.27,0.22,29305.93,28.07,1
289,39,47950.52,0.12,0.11,42035.83,36.97,1
290,48,52741.16,0.09,0.5,24369.29,24.62,0
291,51,64187.12,0.16,0.35,32585.81,30.36,1
292,46,88130.22,0.15,0.25,56587.25,47.14,1
293,51,66704.17,0.19,0.15,44022.44,38.35,1
294,23,43687.46,0.2,0.13,23548.32,24.04,0
295,37,49874.81,0.24,0.27,29587.13,28.26,1
296,22,65127.87,0.18,0.5,13494.08,17.01,0
297,53,67801.88,0.08,0.56,23740.06,24.18,0
298,35,49812.38,0.26,0.55,13927.44,17.31,0
299,46,80211.71,0.13,0.56,29199.61,27.99,1
300,48,72380.95,0.29,0.55,13946.93,17.33,0
301,47,52336.23,0.08,0.36,32742.11,30.47,1
302,24,44497.72,0.29,0.21,17747.08,19.99,0
303,53,53622.71,0.07,0.5,21796.28,22.82,0
304,59,139446.8,0.11,0.21,86976.71,68.38,1
305,55,68359.42,0.06,0.23,44775.05,38.88,1
306,42,65452.68,0.23,0.22,41761.33,36.77,1
307,47,70838.5,0.26,0.36,30395.41,28.83,1
308,49,92749.43,0.16,0.26,56096.57,46.8,1
309,53,59090.51,0.28,0.18,30781.23,29.1,1
310,51,53545.72,0.2,0.33,26187.5,25.89,0
311,39,77587.19,0.21,0.54,25247.81,25.23,0
312,50,59250.87,0.26,0.39,22604.64,23.38,0
313,41,49413.36,0.12,0.54,22262.99,23.14,0
314,51,46979.31,0.14,0.2,31747.55,29.77,1
315,21,76250.66,0.28,0.18,32649.88,30.4,1
316,36,61797.21,0.28,0.39,25763.59,25.59,0
317,43,54765.82,0.29,0.33,25521.04,25.42,0
318,49,58767.33,0.28,0.43,19568.02,21.26,0
319,21,56206.83,0.08,0.5,14983.44,18.05,0
320,58,52155.27,0.26,0.48,6550.4,12.16,0
321,42,46561.73,0.15,0.57,18190.31,20.3,0
322,50,67279.45,0.3,0.3,28744.56,27.67,1
323,40,87383.23,0.17,0.2,60339.55,49.76,1
324,41,85872.02,0.19,0.38,42718.43,37.44,1
325,20,31513.62,0.18,0.16,10653.45,15.03,0
326,45,90073.42,0.13,0.24,61078.48,50.28,1
327,20,42486.77,0.07,0.2,20576.84,21.96,0
328,44,89227.1,0.27,0.3,42948.2,37.6,1
329,35,69210.85,0.25,0.16,45572.98,39.44,1
330,58,39951.98,0.08,0.12,24867.62,24.96,0
331,51,104372.1,0.24,0.43,34705.0,31.84,1
332,27,51274.32,0.21,0.41,18851.63,20.76,0
333,57,67602.38,0.15,0.45,20673.13,22.03,0
334,47,47558.92,0.11,0.43,25216.46,25.21,0
335,44,71594.79,0.26,0.16,46113.69,39.82,1
336,53,83007.75,0.23,0.25,42759.14,37.47,1
337,43,112881.25,0.19,0.16,78197.37,62.25,1
338,42,93670.64,0.2,0.52,31130.01,29.34,1
339,31,65164.99,0.07,0.47,31578.14,29.65,1
340,25,31009.67,0.17,0.2,15993.42,18.76,0
341,54,61807.54,0.1,0.27,36818.12,33.32,1
342,38,53021.85,0.1,0.58,22162.56,23.07,0
343,19,40927.86,0.22,0.4,4400.84,10.65,0
344,26,35027.95,0.28,0.5,5655.51,11.53,0
345,34,55109.73,0.15,0.23,38000.52,34.14,1
346,32,49340.1,0.1,0.21,36928.13,33.4,1
347,30,46846.24,0.21,0.49,15480.8,18.4,0
348,41,54905.98,0.27,0.44,21156.73,22.37,0
349,33,55285.11,0.24,0.44,21290.21,22.46,0
350,46,67480.16,0.27,0.38,28235.07,27.32,1
351,52,38951.69,0.18,0.38,16769.62,19.3,0
352,20,17616.06,0.24,0.47,-5167.38,3.97,0
353,50,57032.69,0.09,0.24,40132.81,35.64,1
354,41,59272.73,0.14,0.28,40240.26,35.71,1
355,40,64884.33,0.15,0.54,26083.13,25.81,0
356,43,53235.63,0.18,0.25,35538.67,32.42,1
357,40,61976.34,0.28,0.37,26544.37,26.14,0
358,40,63841.42,0.27,0.45,23384.42,23.93,0
359,24,36553.55,0.08,0.6,7098.95,12.54,0
360,33,77628.58,0.09,0.32,49246.4,42.01,1
361,55,61829.3,0.14,0.31,30242.74,28.72,1
362,51,71098.62,0.12,0.52,25932.27,25.71,0
363,26,50138.87,0.2,0.5,12505.12,16.32,0
364,23,101756.3,0.28,0.47,20398.61,21.84,0
365,57,68007.12,0.29,0.33,19856.16,21.46,0
366,22,36007.63,0.21,0.26,11793.93,15.82,0
367,24,61650.44,0.26,0.4,16095.65,18.83,0
368,50,44613.82,0.18,0.54,14220.8,17.52,0
369,48,64336.14,0.1,0.54,25863.37,25.66,0
370,53,65676.35,0.18,0.15,42531.37,37.31,1
371,58,58442.45,0.19,0.31,21784.75,22.81,0
372,34,53448.08,0.24,0.33,27207.18,26.6,0
373,31,43099.56,0.1,0.59,15565.99,18.46,0
374,48,52395.64,0.14,0.44,24998.46,25.05,0
375,37,61960.59,0.14,0.3,39545.46,35.22,1
376,35,45831.7,0.29,0.11,31471.9,29.58,1
377,37,104177.03,0.16,0.38,52743.67,44.45,1
378,46,40169.12,0.24,0.15,28467.32,27.48,1
379,44,58143.88,0.24,0.52,19035.44,20.89,0
380,55,60727.4,0.12,0.48,21092.58,22.32,0
381,44,71636.33,0.19,0.33,39217.27,35.0,1
382,41,50856.82,0.27,0.31,26442.42,26.06,0
383,27,73971.24,0.17,0.55,19703.67,21.35,0
384,30,38772.99,0.29,0.24,19930.2,21.51,0
385,19,29496.32,0.1,0.22,8031.55,13.19,0
386,19,48296.38,0.07,0.57,5641.41,11.52,0
387,52,81926.97,0.27,0.5,18103.75,20.23,0
388,50,46296.33,0.26,0.51,12055.26,16.01,0
389,43,147406.49,0.3,0.2,79315.81,63.03,1
390,58,45222.32,0.22,0.17,20382.99,21.83,0
391,19,22271.62,0.28,0.11,1566.97,8.67,0
392,34,66982.36,0.26,0.22,39009.87,34.85,1
393,57,52385.49,0.26,0.49,7377.22,12.74,0
394,23,37620.86,0.19,0.22,16240.28,18.93,0
395,40,72514.18,0.15,0.46,33962.01,31.32,1
396,47,46181.98,0.28,0.23,26241.57,25.92,0
397,21,23241.5,0.16,0.3,3804.26,10.24,0
398,30,46276.65,0.18,0.59,11694.26,15.75,0
399,44,84737.38,0.16,0.22,57214.31,47.58,1
400,34,50730.0,0.19,0.29,30475.43,28.88,1
401,55,96693.13,0.17,0.25,52797.02,44.49,1
402,40,87177.0,0.06,0.15,73678.14,59.09,1
403,47,67308.47,0.27,0.34,29600.07,28.27,1
404,32,62059.09,0.16,0.29,37133.26,33.54,1
405,46,67405.76,0.2,0.45,28154.82,27.26,1
406,23,46945.84,0.08,0.51,13234.25,16.83,0
407,48,57285.1,0.05,0.37,35926.41,32.69,1
408,23,40764.39,0.11,0.12,25833.88,25.64,0
409,30,41469.57,0.23,0.41,16620.61,19.2,0
410,34,37585.19,0.07,0.13,34143.46,31.45,1
411,44,85432.67,0.28,0.41,31866.04,29.86,1
412,44,65261.62,0.1,0.44,34470.68,31.68,1
413,39,61507.97,0.1,0.2,48368.55,41.39,1
414,57,64096.81,0.1,0.51,19359.42,21.11,0
415,54,49257.94,0.05,0.56,17121.33,19.55,0
416,51,49284.83,0.24,0.51,13140.88,16.77,0
417,48,58365.76,0.27,0.25,31066.68,29.3,1
418,55,89218.36,0.2,0.39,32745.95,30.47,1
419,41,48543.57,0.1,0.56,22108.05,23.03,0
420,28,29280.53,0.12,0.26,18105.27,20.24,0
421,23,37318.2,0.17,0.51,5981.93,11.76,0
422,54,83435.32,0.29,0.1,48471.66,41.47,1
423,52,43072.11,0.11,0.1,33986.32,31.34,1
424,49,48444.77,0.23,0.48,16255.75,18.94,0
425,28,56134.39,0.16,0.48,19788.51,21.41,0
426,37,140865.13,0.12,0.49,58771.51,48.67,1
427,50,46649.79,0.16,0.57,14459.77,17.69,0
428,19,21608.62,0.07,0.16,4833.77,10.96,0
429,23,50068.58,0.25,0.22,21038.43,22.29,0
430,22,68124.93,0.11,0.55,15614.3,18.49,0
431,34,49926.58,0.23,0.19,32988.69,30.64,1
432,42,45332.43,0.07,0.44,27599.12,26.87,0
433,34,65640.21,0.29,0.37,27017.73,26.47,0
434,20,50110.81,0.1,0.14,27816.77,27.03,1
435,46,106888.76,0.27,0.24,55867.16,46.64,1
436,50,73805.31,0.25,0.36,30437.72,28.86,1
437,45,78576.07,0.29,0.53,18822.12,20.74,0
438,38,57134.9,0.17,0.45,26935.19,26.41,0
439,42,136033.55,0.23,0.41,53730.2,45.14,1
440,30,48670.09,0.14,0.35,26375.23,26.02,0
441,53,52230.57,0.1,0.25,33034.23,30.67,1
442,51,106723.88,0.16,0.16,73145.23,58.72,1
443,51,45351.58,0.09,0.3,28204.35,27.3,1
444,55,40411.0,0.3,0.11,20288.94,21.76,0
445,30,56126.19,0.07,0.21,41873.44,36.85,1
446,21,40862.35,0.2,0.32,11318.22,15.49,0
447,19,33771.98,0.21,0.31,4411.15,10.66,0
448,51,81236.57,0.18,0.12,56995.46,47.42,1
449,58,45117.27,0.22,0.39,10352.82,14.82,0
450,28,52800.81,0.08,0.37,28617.03,27.58,1
451,47,57553.92,0.19,0.14,42331.68,37.17,1
452,31,44257.93,0.12,0.57,15894.61,18.69,0
453,30,53291.44,0.29,0.15,31499.31,29.6,1
454,49,78542.94,0.24,0.53,20442.21,21.87,0
455,20,97145.43,0.29,0.1,48600.35,41.56,1
456,53,70696.81,0.06,0.54,27029.27,26.47,0
457,41,40151.56,0.12,0.11,36332.78,32.98,1
458,35,58398.09,0.1,0.48,29199.65,27.99,1
459,44,63518.88,0.05,0.28,46901.48,40.37,1
460,26,67444.65,0.11,0.47,26252.76,25.93,0
461,47,65609.73,0.22,0.3,35006.01,32.05,1
462,44,89570.14,0.11,0.14,72508.7,58.27,1
463,28,58458.8,0.18,0.48,19758.04,21.39,0
464,44,99087.08,0.27,0.14,63307.23,51.84,1
465,52,54851.9,0.22,0.56,11457.98,15.59,0
466,59,57636.06,0.15,0.13,33386.03,30.92,1
467,25,63340.59,0.14,0.34,29420.52,28.15,1
468,22,35012.89,0.16,0.46,5775.3,11.62,0
469,29,43001.31,0.09,0.3,26936.54,26.41,0
470,47,54314.12,0.21,0.21,35198.41,32.19,1
471,54,50079.87,0.14,0.48,16787.49,19.31,0
472,43,71823.93,0.26,0.49,22772.44,23.5,0
473,39,42920.65,0.24,0.56,13988.07,17.36,0
474,54,43051.27,0.2,0.29,19750.19,21.39,0
475,28,99161.3,0.14,0.35,49965.63,42.51,1
476,55,49614.66,0.1,0.28,27103.73,26.53,0
477,27,53705.66,0.24,0.23,27036.36,26.48,0
478,42,46268.3,0.17,0.48,21816.1,22.83,0
479,53,61832.01,0.11,0.27,37503.62,33.8,1
480,53,51048.22,0.1,0.31,28940.06,27.81,1
481,54,43001.0,0.09,0.3,23876.1,24.27,0
482,36,88996.37,0.24,0.46,31529.55,29.62,1
483,57,82138.8,0.11,0.56,21526.84,22.63,0
484,50,60220.76,0.18,0.43,24877.91,24.97,0
485,42,82401.85,0.16,0.34,46599.09,40.16,1
486,41,111137.61,0.19,0.49,40393.79,35.82,1
487,50,75933.74,0.27,0.42,25175.48,25.18,0
488,55,67327.03,0.27,0.13,37205.59,33.59,1
489,30,57450.11,0.16,0.15,41192.39,36.38,1
490,31,67147.3,0.05,0.12,57932.91,48.08,1
491,41,57048.85,0.16,0.33,34758.12,31.88,1
492,43,58650.14,0.2,0.51,21853.83,22.86,0
493,53,68135.84,0.19,0.26,36554.77,33.13,1
494,59,48834.6,0.21,0.29,15626.81,18.5,0
495,48,57290.77,0.09,0.55,23411.46,23.95,0
496,35,58982.69,0.21,0.52,20444.03,21.87,0
